sentence,label,deepseek,openai,finbert,NLTK,finma-7b-nlp
"The year-on-year decline in profits of industrial enterprises continued to narrow. From the perspective of volume and price analysis, the cumulative year-on-year growth rate of industrial added value above designated size from January to November was 4.3%, 0.2 percentage points higher than that from January to October; the cumulative year-on-year growth rate of PPI from January to November was -3.1%, which was the same The former value. The continued negative growth of PPI is still the main factor dragging down corporate revenue. However, given the increase in volume growth and unchanged price decline, corporate revenue from January to November accelerated by 0.7 percentage points year-on-year. The cumulative year-on-year decline in PPI remained unchanged, the growth rate of industrial added value above designated size increased, and the superimposed revenue profit margin continued to increase, which further narrowed the year-on-year decline in profits of industrial enterprises. In terms of the market outlook, as the economy stabilizes and recovers, the supply and demand relationship improves, and new industrialization continues to advance, the revenue of industrial enterprises is expected to transition to both volume and price increases, and revenue profit margins are expected to further increase, driving the continued recovery of profits.",positive,neutral,positive,negative,positive,0.7
"The raw material manufacturing industry contributed the most to the narrowing of the profit decline of industrial enterprises. From January to November, the year-on-year decline in profits of the raw material manufacturing industry narrowed by 8.5 percentage points compared with January to October, driving the decline in industrial profits above designated size to narrow by 1.8 percentage points. The narrowing of the profit decline in the raw material manufacturing industry mainly benefited from the steel, non-ferrous metals, and chemical industries. of support. The profit of the steel industry increased by 2.76 times year-on-year from January to November, benefiting from the recovery in downstream demand and the base effect; the profit decline of the chemical industry narrowed by 4.3 percentage points from January to October, of which profit in November increased by 26.7%; the non-ferrous industry from January to November Profit increased by 21.8%, and profits turned from decline to increase.",positive,positive,Positive,negative,positive, positive
Interest rate market trends,neutral,neutral,Neutral,neutral,positive, neutral
"In terms of credit spreads, the 1-year AA-AAA credit spread on Thursday was 16.46 BP, an increase of 0.47 BP from last week; the 3-year AAAAA credit spread was 35.54 BP, an increase of 1.22 BP from last week. In terms of term spreads, the yield on 10-year treasury bonds was 2.5694% on Thursday, and the yield on 1-year treasury bonds was 2.1196%. The term spread between 10-year treasury bonds and 1-year treasury bonds was 44.98BP, which was wider than last week. 13.98BP. In view of the widening of AA-AAA credit spreads and 10-year Treasury bond-1-year Treasury bond term spreads, it is recommended to pay attention to the market of bonds with longer duration and higher credit rating.",neutral,neutral,Neutral,positive,positive,1. positive
"On December 28, the Ministry of Finance released data showing that from January to November, the total operating revenue of state-owned enterprises was 76.22853 billion yuan, a year-on-year increase of 3.9%, and the total profit was 4.12153 billion yuan, a year-on-year increase of 7.0%. From January to November, taxes and fees payable by state-owned enterprises were 5.24363 billion yuan, a year-on-year decrease of 1.6%. At the end of November, the asset-liability ratio of state-owned enterprises was 64.9%, an increase of 0.3 percentage points. (Ministry of Finance)",neutral,neutral,Neutral,positive,positive,4.12
"Risk warning: The macro economy is less than expected, serious credit events occur, and policy changes are less than expected.",negative,negative,Negative,negative,negative, negative
"The consumer price index (CPI) is a relative number that measures the price level of consumer goods and services over time, reflecting the trend and degree of change in the price level of goods and services purchased by residents. Its annual rate of change is often used to reflect the extent of inflation or deflation; The CPI and its sub-indices are also an important reference for calculating GDP and the real value of assets, liabilities, consumption, and income. The compilation method of CPI is to select representative specifications among many measurement objects, collect their price data, calculate the average price and individual price index of these representative specifications, and then use the geometric average to calculate the basic classification price index, and then use the weighted average method to calculate the price index of small classes, medium classes and major categories step by step, until the total price index. According to the interpretation of the CPI indicator by the National Bureau of Statistics, the calculation process is as follows: First, the National Bureau of Statistics and local statistical offices determine the items of goods and services used to calculate the CPI, as well as the survey outlets. The National Bureau of Statistics (NBS) has uniformly determined the categories of goods and services based on the sample survey data of urban and rural residents' household consumption expenditures across the country, and has set up 268 basic categories including food, tobacco and alcohol, clothing, housing, daily necessities and services, transportation and communications, education, culture and entertainment, medical care, and other supplies and services, which basically cover all the consumption content of urban and rural residents. About 500 cities and counties across the country were selected to determine the survey outlets for collecting prices, including grocery stores, department stores, supermarkets, convenience stores, specialized markets, specialty stores, shopping centers, farmers' markets, and service consumption units, totaling 63,000. Secondly, in accordance with the method of """"""""assigning people, fixed points, and timing"""""""", the statistical department sends investigators to the survey outlets to collect prices on the spot. At present, there are about 4,000 price investigators in 500 survey cities and counties in 31 provinces (autonomous regions and municipalities) across the country. The frequency of price collection varies from commodity to commodity, and the price of grain, pork, beef and mutton, vegetables and other foods in the CPI that are closely related to residents' lives and have relatively frequent price changes are investigated every 5 days; For most industrial products such as clothing, shoes and hats, consumer durables, transportation and communication tools, the price is surveyed 2-3 times a month; For water, electricity and other government pricing items, the price is investigated and verified once a month. Finally, the price index of a single item of goods or services and 268 basic categories is calculated based on the original price information after review. Then, according to the corresponding weights of each category, the category price index and CPI are calculated. The weights in China's CPI are mainly determined according to the detailed proportion of the consumption expenditure of various goods and services of urban and rural households across the country. The CPI summary calculation method adopts a chain pull formula, which compiles month-on-month, month-on-month and fixed-base price indexes. The CPI is equal to 100, indicating that there is no change in the comprehensive price in the reporting period compared with the base period; If the consumer price index is greater than 100, it means that the comprehensive price has increased compared with the base period in the reporting period, and the higher the price index, the more the price has risen. If the consumer price index is less than 100, it indicates that the comprehensive price of goods decreased in the reporting period compared with the base period.",neutral,Neutral,Neutral,neutral,positive, neutral
"In recent years, my country has achieved rapid development in the field of science and technology finance:",positive,positive,Positive,positive,neural, positive
"Indirect financing, represented by banking financial institutions, plays a """"main force"""" role. The banking industry continues to increase investment in financial technology and actively develops exclusive credit products; my country continues to increase loans to support scientific and technological enterprises, and credit financing for scientific and technological enterprises is convenient Sexuality continues to improve.",positive,positive,Positive,positive,positive, positive
"Direct financing in the multi-level capital market injects """"new momentum"""" into technology finance, and continues to explore the establishment of a comprehensive full-cycle product system covering stocks, bonds and private equity:",positive,positive,Positive,neutral,positive, positive
"In terms of bond financing to support small and medium-sized technological innovation enterprises, in recent years, my country has successively introduced innovative products such as technological innovation bonds, technological innovation notes, and hybrid technological innovation notes, which are conducive to enriching the main structure of corporate bond issuance. In addition to traditional securities products, in recent years, intellectual property securitization has gradually shown development prospects and has broad development space.",positive,positive,Positive,neutral,positive, positive
"In order to further improve the system and mechanism of scientific and technological innovation, my country is also steadily advancing the exploration and reform pilot of science and technology finance policies, and many places have launched a """"combination punch"""" to promote the two-way empowerment of science and technology innovation and finance.",positive,positive,Positive,neutral,positive, positive
"From a global perspective, the service models of technology finance can be divided into two types, the market-led model represented by the United States, and the government (bank)-led model represented by Germany and Japan:",neutral,neutral,Neutral,neutral,positive, neutral
"The United States has the most developed financial system and the most complete capital market in the world, and is equipped with a flexible and interconnected systematic transfer mechanism. Since the 1980s, the number of IPOs by U.S. technology companies has generally accounted for more than 30%.",positive,positive,Positive,neutral,positive, neutral
"In terms of venture capital, the United States has one of the largest venture capital markets in the world and has diverse and smooth investment exit channels. In recent years, SPAC, a new exit channel for venture capital, has gradually become popular in the United States, which has huge advantages in terms of information disclosure and time to market and has lower costs.",positive,positive,Positive,neutral,positive, positive
"Germany’s science and technology finance model is similar to my country’s financial system, which is dominated by indirect financing. In recent years, it has gradually formed a science and technology finance system led by policy banks, with commercial banks as the main force, and guarantee banks providing risk protection.",neutral,neutral,Neutral,neutral,neural, neutral
"In recent years, my country has attached great importance to improving the financial support system for scientific and technological innovation. In the future, there is still considerable room for growth in the indirect financing and direct financing markets for scientific and technological innovation enterprises:",positive,positive,Positive,positive,positive, positive
"Strengthen direct investment to support scientific and technological innovation. At present, my country\'s multi-level capital market construction has achieved remarkable results. In the future, the financial threshold for listing of small and medium-sized enterprises with real core competitiveness will gradually decrease. The number of listings on the Beijing Stock Exchange is expected to exceed 100 in 2024; the strategic status of science and technology innovation bonds continues to be highlighted. It is expected to become one of the mainstream varieties in the bond market; intellectual property securitization is expected to develop in an orderly manner in terms of scale; national and local support for venture capital will continue to increase.",positive,Positive,Positive,positive,positive, positive
"Banks have vigorously strengthened technological financial services and leveraged their advantages in capital scale. In terms of loan growth, it is expected that loans to """"specialized, special and new"""" and technology-based small and medium-sized enterprises will continue to maintain a growth rate of no less than 20% in 2024, and the loan approval rate for technology-based small and medium-sized enterprises may approach 50%; In terms of strategic layout to guide resource allocation, policy banks can strengthen the role of policy banks in driving commercial banks.",positive,Positive,Positive,positive,positive, positive
"Strengthen the construction of technological innovation in regional financial services. In order to further promote the development of science and technology finance in the region, many places in China have issued specific implementation plans for the implementation of science and technology financial reform pilot zones. In the future, we can continue to accelerate the construction of science and technology innovation infrastructure, benchmark and integrate regional policy advantages and resources, and guide the regional balance in the long term. develop.",positive,neutral,Positive,neutral,positive, positive
"Risk warning: Regulatory risks and policy advancement are not as expected, there are differences between foreign models and domestic ones, and there are risks that research and reporting information is not updated in a timely manner.",negative,negative,Negative,negative,negative, negative
"High-frequency data this week (1.29-2.4, the same below) show that the growth rate of automobile retail sales remains high, and the performance of the movie-going market is flat; passenger and freight demand are generally stable, and the popularity of air travel is increasing; Guangzhou, Shanghai, and Jiangsu have relaxed purchase restrictions Policy, the new housing market has turned from falling to rising, and second-hand housing continues to be strong; the Spring Festival is approaching, and industries have begun to gradually shut down; food prices have increased significantly before the holiday, and the prices of industrial products have been mixed; in terms of liquidity, after the Spring Festival after the month The financial side is running smoothly.",neutral,neutral,Neutral,positive,positive,2.4
"Demand for passenger and freight transport remained stable overall. The subway passenger volume this week was basically the same as last week, while the ground traffic flow continued to decline due to the """"return wave"""". The popularity of air travel is rising. In the second week of Spring Festival travel, due to the high demand for aviation from family visits, students, workers and tourists, as well as the continued release of favorable factors from the visa-free policy, both domestic and international flights hit new highs. The performance is particularly impressive.",positive,neutral,Positive,positive,positive, positive
"The three cities in Guangzhou, Shanghai and Jiangsu have relaxed purchase restriction policies, and the new home market has rebounded month-on-month. This week, the transaction area of \u200b\u200bcommercial housing in 30 cities increased by 13.6% month-on-month and 9.2% year-on-year, sweeping away the decline since January. However, at the end of this week, the transaction area of \u200b\u200bcommercial housing began to show a downward trend. Usually, the transaction volume of commercial housing will start to decline when the Chinese New Year is approaching. After the """"Spring Festival Effect"""" is over, we can continue to observe the true performance of commercial housing sales.",positive,neutral,Neutral,negative,positive,13.6
"Risk warning: The policy strength is stronger than expected, and the introduction of policies is too slow, resulting in insufficient momentum for economic recovery; overseas economies entered recession significantly ahead of schedule, and exports shrank more than expected.",negative,negative,Negative,negative,negative, negative
"Over the past month or so, changes in Japan's economic fundamentals have been mixed:",neutral,neutral,Neutral,negative,neural, neutral
"On the one hand, we see that the economic growth rate in the second quarter was better than expected. Partly due to the economy getting rid of the impact of the automobile production disruption in the first quarter, Japan's economic growth rate rebounded from -0.6% in the first quarter to 0.8% in the second quarter, better than the market expectation of 0.6%. From the expenditure approach, consumption, especially private consumption, rebounded with the improvement of residents' income, which was the main driving force. Government investment also played a role in helping the economic growth rate to turn positive.",positive,positive,Positive,positive,positive, positive
"In addition, private consumption showed slight signs of improvement. The consumer activity index after adjusting for tourism rebounded in June (+0.8% month-on-month). However, the improvement in this data is mainly due to the significant improvement in durable goods consumption (especially automobiles), while non-durable goods consumption remains weak. In addition, goods The retail sales index continued to rebound in June, and the consumer confidence index in July rebounded slightly by 0.2 percentage points to 36.8 after rebounding in June.",positive,neutral,Neutral,negative,positive, positive
"More importantly, the key driving force for future consumption improvement - residents' income has improved significantly: the year-on-year growth rate of total cash income soared to 5.4% in June, but this was mainly due to the payment of bonus income. The year-on-year growth rate of core wages, which represents contract cash income, actually fell slightly by 0.1 percentage points to 2.7%, which has not yet fully reflected the results of the spring wage negotiations. Thanks to the improvement in total income, the year-on-year growth rate of actual wage income turned positive in June after being negative for 26 consecutive months, increasing by 1.1%.",positive,neutral,Positive,positive,positive, positive
"On the other hand, enterprise-related economic indicators performed poorly in June. In terms of production, industrial production fell 3.6% month-on-month, the largest monthly decline since January this year. However, this was mainly affected by a new round of automobile quality inspections. Given that the impact of this round of quality inspections may be smaller than in the first quarter, industrial production may gradually recover thereafter. In terms of investment, both private machinery orders, which lead corporate investment, and private non-residential construction that has been started, which leads to investment in the construction industry, fell in June. Foreign trade performance was also not ideal. Although Japan's actual export index rebounded slightly by 7.2 to 168.8 in July, the actual import index soared to 180.7 (158.5 in June), causing the actual trade balance to turn into a deficit in July.",negative,neutral,Negative,negative,negative, negative
"At the same time, the reduction in government bond purchases, which had been announced in the June meeting, was officially launched after the July meeting. In August, the government bond purchase amount was reduced from the previous 5.7 trillion yen to 5.3 trillion yen, and then reduced by 400 billion yen each quarter until it reached 3 trillion yen per month in the first quarter of 2026. The reduction plan was slightly lower than the previous market expectations.",neutral,neutral,Neutral,negative,neural, negative
"Based on the hawkish stance of the Bank of Japan, we believe that the Bank of Japan will still raise interest rates once later this year, and it may be implemented as early as the October meeting. Even though the Deputy Governor of the Bank of Japan Shinichi Uchida said in August that policymakers would not raise interest rates further if the financial market is unstable, we believe that this is just a verbal intervention by the central bank to appease investors and will not have much impact on its hawkish stance. Kazuo Ueda's testimony in the Diet on August 23 also showed that the central bank has not ruled out the possibility of further interest rate hikes this year.",neutral,neutral,Neutral,neutral,positive, neutral
"The unexpected rate hike in July means that the Bank of Japan is more inclined to use their forward-looking thinking to make interest rate decisions relative to the current economic progress, and raising interest rates every three to four months may be in line with their operating thinking. However, if the quarterly short-term business survey released in early October and the private consumption data and inflation data in the following months are weaker than expected, we do not rule out that the Bank of Japan will delay the rate hike until December. It is worth noting that our interest rate forecast is based on the basic assumption that the US economy will enter a soft landing next. If the US non-farm payroll data deteriorates sharply again in August and the US economy is at risk of falling into recession, the Bank of Japan may be more cautious about its rate hike decision to prevent the Japanese economic growth rate from starting to decline under the circumstances of tighter monetary policy and weaker external demand. In the case of a US recession, the Bank of Japan may be more inclined to stay put this year.",neutral,neutral,Neutral,negative,negative, neutral
"Beware of the risk that the Bank of Japan is too hawkish and causes the Japanese economy to stagnate. We still believe that the Bank of Japan's rate hike at the end of July was a bit too hasty. Inflation data has not yet shown that the results of the March Spring War wage negotiations have been fully transmitted to wages and service CPI. Although private consumption has improved slightly, it has not improved significantly. It is still unknown whether the current recovery of the Japanese economy can withstand continued hawkish rate hikes. We believe that an early rate hike may affect the process of Japan's inflation rate returning to the target level of 2%. If the operation is too aggressive, it may even interrupt the hard-won path of normalization of the Japanese economy.",negative,negative,Negative,negative,negative, negative
"Risk warning: Japan's wage growth rate did not reflect the results of the spring struggle as expected, premature interest rate hikes suppressed economic recovery, and the US economy suddenly entered a recession.",negative,negative,Negative,negative,negative, negative
Finance Office Library [2024] No. 15,neutral,neutral,Neutral,neutral,negative, neutral
"Member of the book-entry treasury bond underwriting syndicate, China Government Bond Depository and Clearing Co., Ltd., China Securities Depository and Clearing Co., Ltd., China Foreign Exchange Trading Center, Shanghai Stock Exchange, Shenzhen Stock Exchange:",neutral,Neutral,Neutral,neutral,positive, neutral
"In order to raise fiscal funds and support the development of the national economy and social undertakings, the Ministry of Finance decided to issue 2024 book-entry interest-bearing (second-phase) treasury bonds (1-year term). The matters related to this issuance are hereby notified as follows:",neutral,neutral,Neutral,neutral,positive, neutral
1. Conditions of issuance,neutral,neutral,Neutral,neutral,neural, neutral
(1) Variety and quantity. The current treasury bonds are 1-year fixed-rate interest-bearing bonds with a total face value of 99 billion yuan in competitive bidding. There will be no additional bidding by Class A members.,neutral,neutral,Neutral,neutral,positive, neutral
"(2) Date arrangement. Bidding will be held on January 24, 2024, interest calculation will begin on January 25, distribution will be carried out from the end of the bidding to January 25, and listing and trading will begin on January 29.",neutral,neutral,Neutral,neutral,positive, neutral
"(3) Redemption arrangements. The principal and interest of this period of treasury bonds will be repaid once upon maturity. The principal and interest will be repaid on January 25, 2025 (postponed during holidays).",neutral,neutral,Neutral,neutral,positive, neutral
"(4) Competitive bidding time. January 24, 2024 from 10:35 to 11:35 am.",neutral,neutral,Neutral,neutral,positive, neutral
"(5) Issuance fees. It will be implemented in accordance with the """"2024-2026 Book-entry Treasury Bond Underwriting Master Agreement"""".",neutral,neutral,Neutral,neutral,positive, neutral
(6) Issuance system. Bidding issuance is conducted through the Ministry of Finance’s government bond issuance system.,neutral,neutral,Neutral,neutral,neural, neutral
2. Competitive bidding,neutral,neutral,Neutral,neutral,positive, neutral
"(1) Bidding method. A modified multiple-price bidding method is adopted, with interest rates as the target.",neutral,neutral,Neutral,neutral,positive, neutral
"(2) Position limitation. The difference between bid elimination, winning bid elimination and each underwriting syndicate member’s bid is 50, 30 and 35 bids respectively.",neutral,neutral,Neutral,neutral,positive,20.0
3. Payment of issuance funds,neutral,neutral,Neutral,neutral,neural, neutral
"Members of the winning bid underwriting group will pay the issuance proceeds to the account designated by the Ministry of Finance before January 25, 2024 (inclusive). The payment date shall be based on the date when the payment is received in the account designated by the Ministry of Finance.",neutral,neutral,Neutral,neutral,positive, neutral
Payee name: Ministry of Finance of the People\'s Republic of China,neutral,neutral,Neutral,neutral,neural, neutral
Bank of deposit: National Treasury General Treasury,neutral,Neutral,Neutral,neutral,positive, neutral
Account number: 270-24102-1,neutral,neutral,Neutral,neutral,positive, neutral
Remitting bank number: 011100099992,neutral,neutral,Neutral,neutral,positive, neutral
"The """"Emergency Bid for the Issuance of Book-entry Treasury Bonds"""" and the """"Emergency Application for the Custody of Book-entry Treasury Bonds"""" for this issuance of treasury bonds are shown in Attachments 1 and 2.",neutral,neutral,Neutral,neutral,positive, neutral
"In addition to the above provisions, the current treasury bond bidding work shall be carried out in accordance with the """"Book-entry Treasury Bond Bidding and Issuance Rules"""".",neutral,neutral,Neutral,neutral,positive, neutral
Attachment: 1. Emergency tender document for issuance of book-entry treasury bonds,neutral,neutral,Neutral,neutral,positive, neutral
2. Emergency application form for custody of book-entry treasury bonds,neutral,neutral,Neutral,neutral,negative, neutral
General Office of the Ministry of Finance,neutral,neutral,Neutral,neutral,neural, neutral
"The Indian financial market is relatively mature. The banking industry is dominated by Public Sector Banks, which account for about 60% of the total assets of the banking industry. Among Chinese commercial banks, only ICBC and Bank of China have branches in India. At the end of 2023, the total market value of the National Stock Exchange of India was US$4.3 trillion, ranking sixth in the world. In 2022, India\'s total premiums reached US$131 billion, making it the tenth largest insurance market in the world.",neutral,neutral,Neutral,neutral,positive, neutral
"Mainland China is India\'s largest source of imports and fourth largest export destination, and its trade with China continues to be in deficit. India mainly imports mechanical and electrical equipment, chemical products and other industrial products from mainland China, and exports mineral products, pearls and gems and other primary products to China.",neutral,neutral,Neutral,neutral,negative, negative
