sentence,label - Yingxian,label - Kai,agreed,label - Qingyi
"Risk warning: U.S. financial risks have risen more than expected, the U.S. economy has declined more than expected, and the Federal Reserve has cut interest rates earlier than expected, etc.",negative,negative,1,
Core view: The year-on-year decline in profits of industrial companies continued to narrow from January to November,positive,positive,1,
"The year-on-year decline in profits of industrial enterprises continued to narrow. From the perspective of volume and price analysis, the cumulative year-on-year growth rate of industrial added value above designated size from January to November was 4.3%, 0.2 percentage points higher than that from January to October; the cumulative year-on-year growth rate of PPI from January to November was -3.1%, which was the same The former value. The continued negative growth of PPI is still the main factor dragging down corporate revenue. However, given the increase in volume growth and unchanged price decline, corporate revenue from January to November accelerated by 0.7 percentage points year-on-year. The cumulative year-on-year decline in PPI remained unchanged, the growth rate of industrial added value above designated size increased, and the superimposed revenue profit margin continued to increase, which further narrowed the year-on-year decline in profits of industrial enterprises. In terms of the market outlook, as the economy stabilizes and recovers, the supply and demand relationship improves, and new industrialization continues to advance, the revenue of industrial enterprises is expected to transition to both volume and price increases, and revenue profit margins are expected to further increase, driving the continued recovery of profits.",positive,positive,1,
"The raw material manufacturing industry contributed the most to the narrowing of the profit decline of industrial enterprises. From January to November, the year-on-year decline in profits of the raw material manufacturing industry narrowed by 8.5 percentage points compared with January to October, driving the decline in industrial profits above designated size to narrow by 1.8 percentage points. The narrowing of the profit decline in the raw material manufacturing industry mainly benefited from the steel, non-ferrous metals, and chemical industries. of support. The profit of the steel industry increased by 2.76 times year-on-year from January to November, benefiting from the recovery in downstream demand and the base effect; the profit decline of the chemical industry narrowed by 4.3 percentage points from January to October, of which profit in November increased by 26.7%; the non-ferrous industry from January to November Profit increased by 21.8%, and profits turned from decline to increase.",positive,positive,1,
Interest rate market trends,neutral,neutral,1,
"In terms of credit spreads, the 1-year AA-AAA credit spread on Thursday was 16.46 BP, an increase of 0.47 BP from last week; the 3-year AAAAA credit spread was 35.54 BP, an increase of 1.22 BP from last week. In terms of term spreads, the yield on 10-year treasury bonds was 2.5694% on Thursday, and the yield on 1-year treasury bonds was 2.1196%. The term spread between 10-year treasury bonds and 1-year treasury bonds was 44.98BP, which was wider than last week. 13.98BP. In view of the widening of AA-AAA credit spreads and 10-year Treasury bond-1-year Treasury bond term spreads, it is recommended to pay attention to the market of bonds with longer duration and higher credit rating.",neutral,neutral,1,
"On December 28, the Ministry of Finance released data showing that from January to November, the total operating revenue of state-owned enterprises was 76.22853 billion yuan, a year-on-year increase of 3.9%, and the total profit was 4.12153 billion yuan, a year-on-year increase of 7.0%. From January to November, taxes and fees payable by state-owned enterprises were 5.24363 billion yuan, a year-on-year decrease of 1.6%. At the end of November, the asset-liability ratio of state-owned enterprises was 64.9%, an increase of 0.3 percentage points. (Ministry of Finance)",neutral,neutral,1,
"Risk warning: The macro economy is less than expected, serious credit events occur, and policy changes are less than expected.",negative,negative,1,
"The consumer price index (CPI) is a relative number that measures the price level of consumer goods and services over time, reflecting the trend and degree of change in the price level of goods and services purchased by residents. Its annual rate of change is often used to reflect the extent of inflation or deflation; The CPI and its sub-indices are also an important reference for calculating GDP and the real value of assets, liabilities, consumption, and income. The compilation method of CPI is to select representative specifications among many measurement objects, collect their price data, calculate the average price and individual price index of these representative specifications, and then use the geometric average to calculate the basic classification price index, and then use the weighted average method to calculate the price index of small classes, medium classes and major categories step by step, until the total price index. According to the interpretation of the CPI indicator by the National Bureau of Statistics, the calculation process is as follows: First, the National Bureau of Statistics and local statistical offices determine the items of goods and services used to calculate the CPI, as well as the survey outlets. The National Bureau of Statistics (NBS) has uniformly determined the categories of goods and services based on the sample survey data of urban and rural residents' household consumption expenditures across the country, and has set up 268 basic categories including food, tobacco and alcohol, clothing, housing, daily necessities and services, transportation and communications, education, culture and entertainment, medical care, and other supplies and services, which basically cover all the consumption content of urban and rural residents. About 500 cities and counties across the country were selected to determine the survey outlets for collecting prices, including grocery stores, department stores, supermarkets, convenience stores, specialized markets, specialty stores, shopping centers, farmers' markets, and service consumption units, totaling 63,000. Secondly, in accordance with the method of """"""""assigning people, fixed points, and timing"""""""", the statistical department sends investigators to the survey outlets to collect prices on the spot. At present, there are about 4,000 price investigators in 500 survey cities and counties in 31 provinces (autonomous regions and municipalities) across the country. The frequency of price collection varies from commodity to commodity, and the price of grain, pork, beef and mutton, vegetables and other foods in the CPI that are closely related to residents' lives and have relatively frequent price changes are investigated every 5 days; For most industrial products such as clothing, shoes and hats, consumer durables, transportation and communication tools, the price is surveyed 2-3 times a month; For water, electricity and other government pricing items, the price is investigated and verified once a month. Finally, the price index of a single item of goods or services and 268 basic categories is calculated based on the original price information after review. Then, according to the corresponding weights of each category, the category price index and CPI are calculated. The weights in China's CPI are mainly determined according to the detailed proportion of the consumption expenditure of various goods and services of urban and rural households across the country. The CPI summary calculation method adopts a chain pull formula, which compiles month-on-month, month-on-month and fixed-base price indexes. The CPI is equal to 100, indicating that there is no change in the comprehensive price in the reporting period compared with the base period; If the consumer price index is greater than 100, it means that the comprehensive price has increased compared with the base period in the reporting period, and the higher the price index, the more the price has risen. If the consumer price index is less than 100, it indicates that the comprehensive price of goods decreased in the reporting period compared with the base period.",neutral,neutral,1,
"Real estate has long been China\'s most important credit accelerator. After the long-term turning point in the real estate industry, the endogenous financing demand of the real sector is insufficient, and new focus points for credit expansion need to be found. The proposal of the """"Five Big Articles"""" further clarified the five key focuses of the financial industry in the process of optimizing the economic structure in the future. As the first of the """"Five Big Articles"""", the proposal of science and technology finance also gives financial services technology a new historical mission.",positive,neutral,0,positive
This article divides the development process of my country\'s science and technology finance into the following four stages: the embryonic period (1980-1984) - pilot policy science and technology loan model; the initial stage (1985-2005) - continuous innovation of science and technology financial tools; the rapid development period ( 2006-2015) - Constructing a scientific and technological financial system; Integrated development period (2016 to present) - Continuously improving the scientific and technological financial system.,neutral,positive,0,neutral
"In recent years, my country has achieved rapid development in the field of science and technology finance:",positive,positive,1,
"Indirect financing, represented by banking financial institutions, plays a """"main force"""" role. The banking industry continues to increase investment in financial technology and actively develops exclusive credit products; my country continues to increase loans to support scientific and technological enterprises, and credit financing for scientific and technological enterprises is convenient Sexuality continues to improve.",positive,positive,1,
"Direct financing in the multi-level capital market injects """"new momentum"""" into technology finance, and continues to explore the establishment of a comprehensive full-cycle product system covering stocks, bonds and private equity:",positive,positive,1,
"In terms of the number of IPO companies, the proportion of specialized and new companies among my country\'s listed companies has further increased; in terms of venture capital, as of 2023, my country has established a total of 2,086 government guidance funds with a target scale of approximately 12.19 trillion yuan.",neutral,positive,0,positive
"In terms of bond financing to support small and medium-sized technological innovation enterprises, in recent years, my country has successively introduced innovative products such as technological innovation bonds, technological innovation notes, and hybrid technological innovation notes, which are conducive to enriching the main structure of corporate bond issuance. In addition to traditional securities products, in recent years, intellectual property securitization has gradually shown development prospects and has broad development space.",positive,positive,1,
"In order to further improve the system and mechanism of scientific and technological innovation, my country is also steadily advancing the exploration and reform pilot of science and technology finance policies, and many places have launched a """"combination punch"""" to promote the two-way empowerment of science and technology innovation and finance.",positive,positive,1,
"From a global perspective, the service models of technology finance can be divided into two types, the market-led model represented by the United States, and the government (bank)-led model represented by Germany and Japan:",neutral,neutral,1,
"The United States has the most developed financial system and the most complete capital market in the world, and is equipped with a flexible and interconnected systematic transfer mechanism. Since the 1980s, the number of IPOs by U.S. technology companies has generally accounted for more than 30%.",positive,positive,1,
"In terms of venture capital, the United States has one of the largest venture capital markets in the world and has diverse and smooth investment exit channels. In recent years, SPAC, a new exit channel for venture capital, has gradually become popular in the United States, which has huge advantages in terms of information disclosure and time to market and has lower costs.",positive,positive,1,
"Germany’s science and technology finance model is similar to my country’s financial system, which is dominated by indirect financing. In recent years, it has gradually formed a science and technology finance system led by policy banks, with commercial banks as the main force, and guarantee banks providing risk protection.",neutral,neutral,1,
"Japan’s technology finance model is similar to that of Germany, and banks play an important role in the development of technology finance. Japan is the first country in the world to establish a credit guarantee system for small and medium-sized enterprises. It has a unique credit supplement system that effectively alleviates the financing difficulties of technology-based small and medium-sized enterprises.",neutral,positive,0,positive
"In recent years, my country has attached great importance to improving the financial support system for scientific and technological innovation. In the future, there is still considerable room for growth in the indirect financing and direct financing markets for scientific and technological innovation enterprises:",positive,positive,1,
"Strengthen direct investment to support scientific and technological innovation. At present, my country\'s multi-level capital market construction has achieved remarkable results. In the future, the financial threshold for listing of small and medium-sized enterprises with real core competitiveness will gradually decrease. The number of listings on the Beijing Stock Exchange is expected to exceed 100 in 2024; the strategic status of science and technology innovation bonds continues to be highlighted. It is expected to become one of the mainstream varieties in the bond market; intellectual property securitization is expected to develop in an orderly manner in terms of scale; national and local support for venture capital will continue to increase.",positive,positive,1,
"Banks have vigorously strengthened technological financial services and leveraged their advantages in capital scale. In terms of loan growth, it is expected that loans to """"specialized, special and new"""" and technology-based small and medium-sized enterprises will continue to maintain a growth rate of no less than 20% in 2024, and the loan approval rate for technology-based small and medium-sized enterprises may approach 50%; In terms of strategic layout to guide resource allocation, policy banks can strengthen the role of policy banks in driving commercial banks.",positive,positive,1,
"Strengthen the construction of technological innovation in regional financial services. In order to further promote the development of science and technology finance in the region, many places in China have issued specific implementation plans for the implementation of science and technology financial reform pilot zones. In the future, we can continue to accelerate the construction of science and technology innovation infrastructure, benchmark and integrate regional policy advantages and resources, and guide the regional balance in the long term. develop.",positive,positive,1,
"Risk warning: Regulatory risks and policy advancement are not as expected, there are differences between foreign models and domestic ones, and there are risks that research and reporting information is not updated in a timely manner.",negative,negative,1,
"High-frequency data this week (1.29-2.4, the same below) show that the growth rate of automobile retail sales remains high, and the performance of the movie-going market is flat; passenger and freight demand are generally stable, and the popularity of air travel is increasing; Guangzhou, Shanghai, and Jiangsu have relaxed purchase restrictions Policy, the new housing market has turned from falling to rising, and second-hand housing continues to be strong; the Spring Festival is approaching, and industries have begun to gradually shut down; food prices have increased significantly before the holiday, and the prices of industrial products have been mixed; in terms of liquidity, after the Spring Festival after the month The financial side is running smoothly.",neutral,neutral,1,
"The year-on-year growth rate of automobile retail sales remained high, while the performance of the movie viewing market was flat. From January 22 to January 28, the retail sales of passenger cars under the Passenger Car Association increased by 136% year-on-year. In terms of movie viewing, the movie market on weekdays is running smoothly this week, but new films are absent. The market is still mainly supported by old films in the New Year\'s Eve period. Although the overall performance is not inferior to that in previous years on the eve of the Spring Festival, the overall popularity of the Spring Festival movie market this week is still limited.",negative,neutral,0,neutral
"Demand for passenger and freight transport remained stable overall. The subway passenger volume this week was basically the same as last week, while the ground traffic flow continued to decline due to the """"return wave"""". The popularity of air travel is rising. In the second week of Spring Festival travel, due to the high demand for aviation from family visits, students, workers and tourists, as well as the continued release of favorable factors from the visa-free policy, both domestic and international flights hit new highs. The performance is particularly impressive.",positive,positive,1,
"The three cities in Guangzhou, Shanghai and Jiangsu have relaxed purchase restriction policies, and the new home market has rebounded month-on-month. This week, the transaction area of \u200b\u200bcommercial housing in 30 cities increased by 13.6% month-on-month and 9.2% year-on-year, sweeping away the decline since January. However, at the end of this week, the transaction area of \u200b\u200bcommercial housing began to show a downward trend. Usually, the transaction volume of commercial housing will start to decline when the Chinese New Year is approaching. After the """"Spring Festival Effect"""" is over, we can continue to observe the true performance of commercial housing sales.",positive,positive,1,
"Production: Production overall tended to slow down a year ago. Most of the high-frequency industrial indicators are """"cooling"""" this week, such as railway freight volume, which has declined significantly, blast furnace operating rate, which has a month-on-month growth rate of -0.3pct, and coal throughput, which has dropped 9.3% month-on-month. However, some indicators are """"heating up"""". For example, the load rate of power plants in the seven coastal provinces still insists on being on the """"last shift"""" before the Spring Festival, and its overall trend is still trending upward.",negative,neutral,0,positive
"Inflation: Food prices surge ahead of holiday season. The Agricultural Products Wholesale Price 200 Index continued to rise this week, rising 2.6% week-on-week. Among them, the average weekly price of pork was 21.27 yuan/kg, up 6.1% week-on-week, and the increase was significantly wider than last week. Pre-holiday stocking coupled with tight transportation resources and rising freight costs. At the same time, as the new year is approaching, pork consumption has begun to enter the peak season, and terminal market purchases and sales Motivation increased significantly.",positive,negative,0,neutral
"In terms of liquidity, funds were stable and loose before the holiday. Bill interest rates fell sharply this week. The interest rates of 6M state-owned shares and 3M state-owned shares dropped sharply after a month. They dropped to 1.61% and 1.78% respectively on Friday. This week, the central bank\'s reverse repos achieved a net withdrawal of 230 billion yuan. The bond market leverage ratio increased this week, recording 109.4% on Friday, which was higher than the historical level for the same period before the Spring Festival.",neutral,negative,0,neutral
"Risk warning: The policy strength is stronger than expected, and the introduction of policies is too slow, resulting in insufficient momentum for economic recovery; overseas economies entered recession significantly ahead of schedule, and exports shrank more than expected.",negative,negative,1,
"Core view: Over the past month, the changes in Japan's economic fundamentals have been mixed. On the one hand, we see that Japan's economic growth in the second quarter was better than expected, and private consumption also showed signs of a slight improvement. On the other hand, corporate-related economic indicators and foreign trade performed poorly, and the July inflation data has not yet reflected the positive impact of the sharp increase in wages in spring. Despite this, the Bank of Japan decided to raise interest rates in July beyond expectations. Based on its hawkish stance and the basic judgment of a soft landing for the US economy, we believe that Japan will still have one more interest rate hike this year, which may be realized as early as the October meeting. If the US economy enters a recession, the Bank of Japan may tend to stay put this year. In addition, we believe that we need to be wary of the risk that the Bank of Japan is too hawkish and causes the Japanese economy to stagnate. Under the basic assumption that the Bank of Japan will raise interest rates once more this year, we expect the yen to still have room for appreciation, with the end-of-year point raised to between 140 and 145.",positive,neutral,0,positive
"Over the past month or so, changes in Japan's economic fundamentals have been mixed:",neutral,neutral,1,
"On the one hand, we see that the economic growth rate in the second quarter was better than expected. Partly due to the economy getting rid of the impact of the automobile production disruption in the first quarter, Japan's economic growth rate rebounded from -0.6% in the first quarter to 0.8% in the second quarter, better than the market expectation of 0.6%. From the expenditure approach, consumption, especially private consumption, rebounded with the improvement of residents' income, which was the main driving force. Government investment also played a role in helping the economic growth rate to turn positive.",positive,positive,1,
"In addition, private consumption showed slight signs of improvement. The consumer activity index after adjusting for tourism rebounded in June (+0.8% month-on-month). However, the improvement in this data is mainly due to the significant improvement in durable goods consumption (especially automobiles), while non-durable goods consumption remains weak. In addition, goods The retail sales index continued to rebound in June, and the consumer confidence index in July rebounded slightly by 0.2 percentage points to 36.8 after rebounding in June.",positive,positive,1,
"More importantly, the key driving force for future consumption improvement - residents' income has improved significantly: the year-on-year growth rate of total cash income soared to 5.4% in June, but this was mainly due to the payment of bonus income. The year-on-year growth rate of core wages, which represents contract cash income, actually fell slightly by 0.1 percentage points to 2.7%, which has not yet fully reflected the results of the spring wage negotiations. Thanks to the improvement in total income, the year-on-year growth rate of actual wage income turned positive in June after being negative for 26 consecutive months, increasing by 1.1%.",positive,positive,1,
"On the other hand, enterprise-related economic indicators performed poorly in June. In terms of production, industrial production fell 3.6% month-on-month, the largest monthly decline since January this year. However, this was mainly affected by a new round of automobile quality inspections. Given that the impact of this round of quality inspections may be smaller than in the first quarter, industrial production may gradually recover thereafter. In terms of investment, both private machinery orders, which lead corporate investment, and private non-residential construction that has been started, which leads to investment in the construction industry, fell in June. Foreign trade performance was also not ideal. Although Japan's actual export index rebounded slightly by 7.2 to 168.8 in July, the actual import index soared to 180.7 (158.5 in June), causing the actual trade balance to turn into a deficit in July.",negative,negative,1,
"In terms of inflation, the July data has not yet reflected the positive impact of the sharp increase in wages in the spring. Although the core CPI excluding fresh food rose by 0.1 percentage points to 2.7% in July, this was mainly due to the rise in energy prices after the government abolished electricity and gas fees. The dual core CPI inflation rate excluding energy prices fell by another 0.3 percentage points to 1.9%. In addition to the continued decline in food CPI, the service industry CPI also fell by another 0.3 percentage points to 1.4%. Both declines were affected by last year's high base.",negative,neutral,0,negative
"Despite this, the hawkish Bank of Japan decided to raise interest rates in July beyond expectations and started to reduce its purchase of government bonds at the same time. At the interest rate meeting at the end of July, the Bank of Japan announced that the policy interest rate would be raised to 0.25% from the previous range of 0-0.1%. In explaining the reason for the rate hike, Bank of Japan Governor Kazuo Ueda pointed out that Japan's economy and prices improved as expected, while the rise in import prices caused by the weakening of the yen increased the risk of inflation. Interestingly, at the same time as the decision to raise interest rates, the Bank of Japan's economic forecast lowered the core CPI year-on-year inflation forecast for 2024 by 0.3 percentage points to 2.5%, but raised the forecast for 2025 by 0.2 percentage points to 2.1%. The more critical dual core CPI inflation forecasts for 2024-2026 remain unchanged. In addition, the Bank of Japan lowered its economic growth forecast for this year by 0.2 percentage points to 0.6%, and maintained its outlook for 2025-2026 unchanged. The decision to unexpectedly raise interest rates without foreseeing better economic growth and inflation prospects reflects the hawkish stance of the current Bank of Japan.",positive,negative,0,positive
"At the same time, the reduction in government bond purchases, which had been announced in the June meeting, was officially launched after the July meeting. In August, the government bond purchase amount was reduced from the previous 5.7 trillion yen to 5.3 trillion yen, and then reduced by 400 billion yen each quarter until it reached 3 trillion yen per month in the first quarter of 2026. The reduction plan was slightly lower than the previous market expectations.",neutral,neutral,1,
"Based on the hawkish stance of the Bank of Japan, we believe that the Bank of Japan will still raise interest rates once later this year, and it may be implemented as early as the October meeting. Even though the Deputy Governor of the Bank of Japan Shinichi Uchida said in August that policymakers would not raise interest rates further if the financial market is unstable, we believe that this is just a verbal intervention by the central bank to appease investors and will not have much impact on its hawkish stance. Kazuo Ueda's testimony in the Diet on August 23 also showed that the central bank has not ruled out the possibility of further interest rate hikes this year.",neutral,neutral,1,
"The unexpected rate hike in July means that the Bank of Japan is more inclined to use their forward-looking thinking to make interest rate decisions relative to the current economic progress, and raising interest rates every three to four months may be in line with their operating thinking. However, if the quarterly short-term business survey released in early October and the private consumption data and inflation data in the following months are weaker than expected, we do not rule out that the Bank of Japan will delay the rate hike until December. It is worth noting that our interest rate forecast is based on the basic assumption that the US economy will enter a soft landing next. If the US non-farm payroll data deteriorates sharply again in August and the US economy is at risk of falling into recession, the Bank of Japan may be more cautious about its rate hike decision to prevent the Japanese economic growth rate from starting to decline under the circumstances of tighter monetary policy and weaker external demand. In the case of a US recession, the Bank of Japan may be more inclined to stay put this year.",neutral,neutral,1,
